wool,corn,milk,beef,wheat,potatoes,iron,coal,gold,silver,copper,tin
40,46,34,52,43,23,25,20,101,79,77,40
40,46,29,46,37,24,34,14,130,124,94,42
38,36,32,38,36,33,28,17,167,119,88,49
38,49,31,47,26,32,30,19,149,115,74,60
27,38,20,34,38,30,20,16,126,80,63,65
38,31,24,38,41,18,21,17,148,104,94,50
30,36,32,33,41,32,28,12,140,77,68,56
25,41,25,33,34,28,33,16,152,118,58,47
34,38,25,50,36,25,28,16,150,88,93,42
34,50,18,40,34,27,30,23,158,96,75,62
33,36,17,38,26,28,20,20,123,67,84,44
35,32,29,39,25,23,30,19,143,66,79,57
39,30,27,46,38,23,27,22,152,116,66,54
37,39,17,32,23,31,17,19,140,85,61,59
29,31,22,48,24,28,19,14,122,115,87,57
27,21,10,22,25,26,35,24,200,147,96,34
24,20,10,23,18,33,38,29,193,136,109,49
16,20,10,24,19,23,33,27,189,118,96,42
16,27,13,27,22,24,28,29,197,144,80,42
16,20,12,24,20,30,29,29,197,142,73,58
26,21,10,30,26,34,37,26,200,148,109,52
18,20,11,25,25,26,37,29,188,116,69,59
15,21,10,23,29,28,31,28,188,142,76,31
27,21,13,33,19,30,37,30,186,138,91,50
22,20,14,28,22,32,39,30,199,129,91,46
24,20,10,34,27,33,36,29,179,147,73,35
16,20,10,33,22,32,34,29,193,145,91,51
26,20,14,28,20,32,34,28,200,132,105,40
24,22,10,33,22,35,36,28,188,142,88,31
18,20,10,22,33,26,38,29,195,146,76,45
26,20,10,27,24,28,36,30,175,146,88,55
20,24,13,28,25,22,34,29,200,145,68,54
20,20,10,22,32,35,39,29,199,142,62,33
15,20,10,23,26,36,34,29,183,129,93,37
22,21,10,22,38,25,34,29,175,134,61,42
25,20,11,22,27,30,39,30,179,103,86,26
20,20,15,38,38,26,38,29,175,124,58,29
18,20,11,29,28,29,39,29,183,113,57,33
15,20,15,27,30,34,33,29,187,135,93,46
21,20,10,25,31,36,36,29,195,130,80,37
19,22,16,26,40,34,35,29,193,119,70,33
22,20,10,26,35,27,33,29,200,131,66,26
15,20,10,36,35,36,39,30,164,119,81,32
15,21,10,33,26,29,39,28,167,99,52,29
15,20,12,27,35,36,38,30,197,132,87,46
15,20,10,30,34,27,38,29,173,97,58,36
18,20,14,39,37,37,40,29,193,103,51,25
17,21,13,27,30,28,34,29,180,119,89,45
18,20,13,25,30,35,39,27,170,123,80,23
16,20,11,27,38,29,38,29,186,112,65,31
15,20,17,40,36,37,36,29,197,101,61,24
16,22,14,35,38,35,40,29,158,98,81,44
16,22,12,31,43,34,40,28,194,116,75,41
15,23,14,38,40,32,39,28,185,101,47,28
16,23,11,29,43,32,40,30,164,124,45,23
20,20,19,37,44,33,39,29,195,127,60,29
15,21,13,30,43,34,40,29,181,109,53,31
16,22,13,32,44,33,39,29,182,92,65,25
15,20,21,42,29,38,40,29,155,92,61,25
16,20,17,44,37,38,38,26,176,124,53,35
15,22,10,46,43,31,39,26,140,114,61,20
17,20,14,32,38,37,40,27,152,75,53,36
15,27,14,28,34,32,39,28,162,79,52,24
15,20,11,42,30,36,39,25,191,123,65,35
18,23,14,43,44,39,37,26,191,122,78,23
17,22,20,36,31,37,38,26,146,85,50,36
15,21,17,37,36,34,38,26,139,117,55,20
17,21,15,36,31,36,39,24,183,96,46,21
15,23,17,31,43,35,38,29,191,71,58,24
15,24,13,32,47,38,39,29,139,120,49,27
15,27,15,40,45,40,40,25,137,119,39,23
16,29,25,32,43,36,38,29,141,79,55,20
15,20,13,47,47,40,38,23,169,103,46,25
15,20,21,36,47,40,38,25,155,76,63,22
15,22,13,46,37,39,39,29,176,76,71,24
16,21,17,33,43,34,39,27,121,93,62,26
16,23,25,41,36,38,37,29,135,75,34,29
15,23,22,36,42,40,38,29,143,68,41,21
15,21,18,35,40,39,37,22,137,113,53,20
17,21,24,33,44,38,40,28,175,77,35,22
16,31,16,34,42,37,38,27,161,88,65,27
16,24,27,34,46,39,39,29,114,90,43,23
16,26,23,38,44,39,39,21,172,74,36,21
16,33,16,35,44,39,38,28,140,59,59,22
18,29,14,35,43,37,39,25,113,98,32,20
16,24,16,41,44,38,39,29,122,63,37,25
15,33,22,52,41,39,40,27,146,64,34,20
15,22,27,50,49,40,39,28,113,62,42,20
19,30,21,40,46,39,40,28,109,55,39,22
15,22,26,53,49,37,38,21,174,76,60,21
16,31,21,46,42,40,39,28,101,93,56,26
15,29,17,41,43,39,38,21,108,79,31,25
15,36,29,46,46,36,35,28,128,86,33,20
15,21,23,46,48,39,40,28,169,60,41,20
15,25,22,39,40,39,40,28,167,85,47,20
22,25,29,56,48,38,34,22,154,76,44,20
20,27,25,44,43,40,33,26,141,68,46,20
21,23,22,49,47,39,36,25,139,67,31,20
21,24,29,56,41,38,40,19,107,54,31,20
17,33,29,50,46,39,38,24,130,70,36,20
22,27,31,46,43,39,34,27,128,83,32,20
15,22,23,56,49,39,40,19,125,47,38,20
18,40,21,55,50,39,33,25,122,70,51,20
17,29,28,47,49,39,39,27,146,65,31,20
21,26,30,48,46,40,35,17,143,89,30,20
20,25,23,48,44,40,32,21,87,59,38,24
19,41,24,55,46,38,39,23,108,68,39,20
15,37,32,47,44,37,39,17,148,85,30,20
19,29,23,43,47,39,37,26,137,69,38,20
19,33,20,51,48,39,39,23,110,80,37,20
16,36,20,44,49,39,37,20,103,43,30,20
22,38,20,54,47,38,32,16,126,69,31,22
22,32,30,50,49,39,34,25,148,71,31,21
24,41,28,55,44,40,37,22,84,67,30,20
20,38,22,56,44,35,32,23,141,49,30,23
23,35,29,51,49,39,37,15,128,54,32,20
17,37,35,57,49,40,34,14,86,52,30,20
27,28,24,59,49,40,34,24,130,54,35,20
18,32,29,56,49,39,34,16,119,42,36,20
21,40,27,52,47,34,34,16,139,48,38,24
18,37,25,53,49,39,30,24,101,53,31,26
18,30,31,59,46,38,29,25,89,41,30,20
28,28,22,48,50,35,38,14,77,60,30,23
19,33,31,53,48,39,32,16,70,41,30,20
23,37,35,59,50,36,36,14,73,50,30,20
24,30,26,51,50,39,27,22,83,47,30,31
29,34,36,56,49,35,32,13,93,40,30,23
31,39,34,59,47,39,38,15,126,57,30,20
24,43,36,58,50,37,26,14,123,40,30,27
25,32,24,57,49,40,32,21,123,43,33,25
22,32,30,51,48,34,28,14,60,54,31,24
28,37,30,50,50,32,34,17,104,46,30,31
18,42,30,58,48,39,24,22,98,60,30,30
18,50,29,55,47,39,34,12,71,40,32,26
25,50,33,57,50,37,36,12,99,40,31,36
30,43,27,58,49,37,23,22,92,55,32,30
22,38,30,58,49,32,34,11,70,49,31,23
33,46,38,58,50,38,25,16,73,40,30,20
22,47,34,58,49,32,27,18,59,40,35,20
24,37,31,60,50,30,34,22,89,40,30,20
29,33,31,59,47,32,28,15,80,40,30,35
26,44,27,60,49,33,32,13,66,40,35,20
20,50,31,59,50,39,32,19,97,41,32,25
30,51,37,56,47,38,32,11,61,47,33,29
26,35,37,59,49,39,24,13,80,41,39,29
34,38,29,57,50,30,28,16,80,41,34,26
24,42,36,59,45,31,35,10,66,45,34,24
28,50,32,57,49,36,31,11,54,41,42,22
25,46,38,57,48,32,32,11,60,42,31,43
27,47,30,59,46,32,32,16,99,41,36,22
32,41,37,57,44,38,30,17,64,44,30,32
28,50,34,56,46,27,22,10,91,40,31,23
28,54,33,56,44,37,27,7,55,46,35,26
34,50,38,60,48,30,29,8,62,40,43,31
34,47,33,56,50,33,27,10,75,42,34,40
29,48,32,56,46,35,23,13,91,40,32,25
33,51,33,59,48,32,20,8,83,41,37,38
26,46,37,58,47,34,29,17,52,41,41,25
26,49,38,58,45,38,21,14,62,43,34,40
40,50,39,59,45,30,31,16,59,41,30,32
32,48,35,59,47,25,17,7,50,41,33,36
41,53,40,57,43,31,17,16,65,46,30,29
37,53,39,58,45,24,23,10,52,44,37,40
24,53,40,59,48,31,25,16,52,40,30,39
27,44,36,56,50,27,26,7,53,44,35,47
26,47,39,59,48,36,29,13,51,46,35,50
36,56,34,58,48,32,18,6,71,48,32,28
28,43,34,59,47,28,24,12,66,44,42,26
40,57,39,59,41,35,26,6,69,40,53,36
28,57,38,57,44,36,29,5,63,47,34,44
37,56,40,58,41,36,28,14,51,40,33,35
41,46,39,56,47,23,17,7,50,41,47,38
