wool,corn,milk,beef,wheat,potatoes,iron,coal,gold,silver,copper,tin
40,46,34,52,43,23,25,20,101,79,77,40
40,46,29,46,37,24,34,14,130,124,94,42
38,36,32,38,36,33,28,17,167,119,88,49
38,49,31,47,26,32,30,19,149,115,74,60
27,38,20,34,38,30,20,16,126,80,63,65
38,31,24,38,41,18,21,17,148,104,94,50
30,36,32,33,41,32,28,12,140,77,68,56
25,41,25,33,34,28,33,16,152,118,58,47
34,38,25,50,36,25,28,16,150,88,93,42
34,50,18,40,34,27,30,23,158,96,75,62
33,36,17,38,26,28,20,20,123,67,84,44
35,32,29,39,25,23,30,19,143,66,79,57
39,30,27,46,38,23,27,22,152,116,66,54
37,39,17,32,23,31,17,19,140,85,61,59
29,31,22,48,24,28,19,14,122,115,87,57
27,21,10,22,25,26,35,24,200,147,96,34
24,20,10,23,18,33,38,29,193,136,109,49
16,20,10,24,19,23,33,27,189,118,96,42
16,27,13,27,22,24,28,29,197,144,80,42
16,20,12,24,20,30,29,29,197,142,73,58
26,21,10,30,26,34,37,26,200,148,109,52
18,20,11,25,25,26,37,29,188,116,69,59
15,21,10,23,29,28,31,28,188,142,76,31
27,21,13,33,19,30,37,30,186,138,91,50
22,20,14,28,22,32,39,30,199,129,91,46
24,20,10,34,27,33,36,29,179,147,73,35
16,20,10,33,22,32,34,29,193,145,91,51
26,20,14,28,20,32,34,28,200,132,105,40
24,22,10,33,22,35,36,28,188,142,88,31
18,20,10,22,33,26,38,29,195,146,76,45
26,20,10,27,24,28,36,30,175,146,88,55
20,24,13,28,25,22,34,29,200,145,68,54
20,20,10,22,32,35,39,29,199,142,62,33
15,20,10,23,26,36,34,29,183,129,93,37
22,21,10,22,38,25,34,29,175,134,61,42
25,20,11,22,27,30,39,30,179,103,86,26
20,20,15,38,38,26,38,29,175,124,58,29
18,20,11,29,28,29,39,29,183,113,57,33
15,20,15,27,30,34,33,29,187,135,93,46
21,20,10,25,31,36,36,29,195,130,80,37
19,22,16,26,40,34,35,29,193,119,70,33
22,20,10,26,35,27,33,29,200,131,66,26
15,20,10,36,35,36,39,30,164,119,81,32
15,21,10,33,26,29,39,28,167,99,52,29
15,20,12,27,35,36,38,30,197,132,87,46
15,20,10,30,34,27,38,29,173,97,58,36
18,20,14,39,37,37,40,29,193,103,51,25
17,21,13,27,30,28,34,29,180,119,89,45
18,20,13,25,30,35,39,27,170,123,80,23
16,20,11,27,38,29,38,29,186,112,65,31
15,20,17,40,36,37,36,29,197,101,61,24
16,22,14,35,38,35,40,29,158,98,81,44
16,22,12,31,43,34,40,28,194,116,75,41
15,23,14,38,40,32,39,28,185,101,47,28
16,23,11,29,43,32,40,30,164,124,45,23
20,20,19,37,44,33,39,29,195,127,60,29
15,21,13,30,43,34,40,29,181,109,53,31
16,22,13,32,44,33,39,29,182,92,65,25
15,20,21,42,29,38,40,29,155,92,61,25
16,20,17,44,37,38,38,26,176,124,53,35
15,22,10,46,43,31,39,26,140,114,61,20
17,20,14,32,38,37,40,27,152,75,53,36
15,27,14,28,34,32,39,28,162,79,52,24
15,20,11,42,30,36,39,25,191,123,65,35
18,23,14,43,44,39,37,26,191,122,78,23
17,22,20,36,31,37,38,26,146,85,50,36
15,21,17,37,36,34,38,26,139,117,55,20
17,21,15,36,31,36,39,24,183,96,46,21
15,23,17,31,43,35,38,29,191,71,58,24
15,24,13,32,47,38,39,29,139,120,49,27
15,27,15,40,45,40,40,25,137,119,39,23
16,29,25,32,43,36,38,29,141,79,55,20
15,20,13,47,47,40,38,23,169,103,46,25
15,20,21,36,47,40,38,25,155,76,63,22
15,22,13,46,37,39,39,29,176,76,71,24
16,21,17,33,43,34,39,27,121,93,62,26
16,23,25,41,36,38,37,29,135,75,34,29
15,23,22,36,42,40,38,29,143,68,41,21
15,21,18,35,40,39,37,22,137,113,53,20
17,21,24,33,44,38,40,28,175,77,35,22
16,31,16,34,42,37,38,27,161,88,65,27
16,24,27,34,46,39,39,29,114,90,43,23
16,26,23,38,44,39,39,21,172,74,36,21
16,33,16,35,44,39,38,28,140,59,59,22
18,29,14,35,43,37,39,25,113,98,32,20
16,24,16,41,44,38,39,29,122,63,37,25
15,33,22,52,41,39,40,27,146,64,34,20
15,22,27,50,49,40,39,28,113,62,42,20
19,30,21,40,46,39,40,28,109,55,39,22
15,22,26,53,49,37,38,21,174,76,60,21
16,31,21,46,42,40,39,28,101,93,56,26
15,29,17,41,43,39,38,21,108,79,31,25
15,36,29,46,46,36,35,28,128,86,33,20
15,21,23,46,48,39,40,28,169,60,41,20
15,25,22,39,40,39,40,28,167,85,47,20
22,25,29,56,48,38,34,22,154,76,44,20
20,27,25,44,43,40,33,26,141,68,46,20
21,23,22,49,47,39,36,25,139,67,31,20
21,24,29,56,41,38,40,19,107,54,31,20
17,33,29,50,46,39,38,24,130,70,36,20
22,27,31,46,43,39,34,27,128,83,32,20
15,22,23,56,49,39,40,19,125,47,38,20
18,40,21,55,50,39,33,25,122,70,51,20
17,29,28,47,49,39,39,27,146,65,31,20
21,26,30,48,46,40,35,17,143,89,30,20
20,25,23,48,44,40,32,21,87,59,38,24
19,41,24,55,46,38,39,23,108,68,39,20
15,37,32,47,44,37,39,17,148,85,30,20
19,29,23,43,47,39,37,26,137,69,38,20
19,33,20,51,48,39,39,23,110,80,37,20
16,36,20,44,49,39,37,20,103,43,30,20
22,38,20,54,47,38,32,16,126,69,31,22
22,32,30,50,49,39,34,25,148,71,31,21
24,41,28,55,44,40,37,22,84,67,30,20
20,38,22,56,44,35,32,23,141,49,30,23
23,35,29,51,49,39,37,15,128,54,32,20
17,37,35,57,49,40,34,14,86,52,30,20
27,28,24,59,49,40,34,24,130,54,35,20
18,32,29,56,49,39,34,16,119,42,36,20
21,40,27,52,47,34,34,16,139,48,38,24
18,37,25,53,49,39,30,24,101,53,31,26
18,30,31,59,46,38,29,25,89,41,30,20
28,28,22,48,50,35,38,14,77,60,30,23
19,33,31,53,48,39,32,16,70,41,30,20
23,37,35,59,50,36,36,14,73,50,30,20
24,30,26,51,50,39,27,22,83,47,30,31
29,34,36,56,49,35,32,13,93,40,30,23
31,39,34,59,47,39,38,15,126,57,30,20
24,43,36,58,50,37,26,14,123,40,30,27
25,32,24,57,49,40,32,21,123,43,33,25
22,32,30,51,48,34,28,14,60,54,31,24
28,37,30,50,50,32,34,17,104,46,30,31
18,42,30,58,48,39,24,22,98,60,30,30
18,50,29,55,47,39,34,12,71,40,32,26
25,50,33,57,50,37,36,12,99,40,31,36
30,43,27,58,49,37,23,22,92,55,32,30
22,38,30,58,49,32,34,11,70,49,31,23
33,46,38,58,50,38,25,16,73,40,30,20
22,47,34,58,49,32,27,18,59,40,35,20
24,37,31,60,50,30,34,22,89,40,30,20
29,33,31,59,47,32,28,15,80,40,30,35
26,44,27,60,49,33,32,13,66,40,35,20
20,50,31,59,50,39,32,19,97,41,32,25
30,51,37,56,47,38,32,11,61,47,33,29
26,35,37,59,49,39,24,13,80,41,39,29
34,38,29,57,50,30,28,16,80,41,34,26
24,42,36,59,45,31,35,10,66,45,34,24
28,50,32,57,49,36,31,11,54,41,42,22
25,46,38,57,48,32,32,11,60,42,31,43
27,47,30,59,46,32,32,16,99,41,36,22
32,41,37,57,44,38,30,17,64,44,30,32
28,50,34,56,46,27,22,10,91,40,31,23
28,54,33,56,44,37,27,7,55,46,35,26
34,50,38,60,48,30,29,8,62,40,43,31
34,47,33,56,50,33,27,10,75,42,34,40
29,48,32,56,46,35,23,13,91,40,32,25
33,51,33,59,48,32,20,8,83,41,37,38
26,46,37,58,47,34,29,17,52,41,41,25
26,49,38,58,45,38,21,14,62,43,34,40
40,50,39,59,45,30,31,16,59,41,30,32
32,48,35,59,47,25,17,7,50,41,33,36
41,53,40,57,43,31,17,16,65,46,30,29
37,53,39,58,45,24,23,10,52,44,37,40
24,53,40,59,48,31,25,16,52,40,30,39
27,44,36,56,50,27,26,7,53,44,35,47
26,47,39,59,48,36,29,13,51,46,35,50
36,56,34,58,48,32,18,6,71,48,32,28
28,43,34,59,47,28,24,12,66,44,42,26
40,57,39,59,41,35,26,6,69,40,53,36
28,57,38,57,44,36,29,5,63,47,34,44
37,56,40,58,41,36,28,14,51,40,33,35
41,46,39,56,47,23,17,7,50,41,47,38
35,55,35,59,49,34,19,14,61,41,38,54
34,53,37,59,45,27,26,13,61,41,54,54
36,58,39,59,47,32,22,6,53,40,43,35
42,47,40,57,41,24,24,6,50,40,50,29
41,51,40,59,45,31,21,8,53,51,33,45
39,59,39,53,47,25,26,13,59,40,36,47
37,46,40,53,37,30,19,7,65,44,49,57
34,58,37,54,44,21,18,13,53,41,58,49
38,49,39,59,36,25,17,11,65,45,32,39
41,47,40,58,43,34,15,5,50,40,55,60
40,58,38,59,42,26,22,10,62,40,34,50
41,59,37,59,35,26,20,7,56,51,37,52
34,57,40,55,44,30,18,10,50,49,52,47
44,50,39,54,47,18,18,8,50,42,34,49
41,59,39,59,45,31,16,9,62,64,56,39
38,52,38,60,43,30,21,10,55,44,48,54
41,58,39,59,42,21,14,5,61,40,56,47
44,53,39,60,39,19,15,5,56,58,70,56
37,57,39,51,37,26,12,5,50,65,41,55
37,56,38,50,37,31,16,7,55,57,44,61
41,53,39,59,33,23,14,5,51,57,38,55
35,58,38,56,33,31,14,9,50,41,39,45
41,58,38,48,39,25,18,5,50,57,67,55
44,59,40,49,33,27,21,6,52,66,60,46
48,59,39,51,34,26,18,5,53,41,79,60
35,59,40,51,30,22,17,5,52,68,46,55
34,60,39,54,44,16,12,7,64,42,58,45
36,58,39,55,38,28,14,5,50,62,74,57
39,56,37,50,32,29,13,6,56,41,48,63
38,60,38,59,41,21,13,6,60,72,50,65
44,58,36,49,45,17,19,5,66,64,64,59
42,60,39,51,44,19,16,8,58,67,43,50
43,59,39,51,38,20,10,5,68,57,76,69
41,60,38,51,35,19,16,8,51,41,72,47
39,59,37,56,39,21,13,5,50,42,67,60
48,59,38,44,38,23,11,6,53,44,70,59
45,56,36,51,43,27,20,5,53,48,49,55
49,59,35,58,39,16,16,5,51,68,51,45
49,59,38,51,30,14,15,5,59,76,88,66
49,59,35,53,31,18,13,5,53,70,51,57
45,58,39,52,40,21,10,5,50,46,66,47
48,56,38,45,27,22,13,6,50,49,88,50
49,59,40,49,26,17,10,5,54,82,88,64
49,60,40,56,34,15,14,5,80,57,89,74
49,56,37,47,38,18,10,5,50,76,92,65
44,58,34,53,26,25,10,5,51,82,79,64
47,57,37,52,35,20,13,5,53,83,91,59
49,57,35,55,26,23,11,5,55,88,57,73
50,58,33,51,40,15,11,5,50,88,84,52
49,57,34,41,27,13,11,5,62,71,92,66
49,58,37,47,23,13,16,5,60,60,57,65
49,59,37,50,34,14,10,5,50,92,88,71
50,59,35,50,23,12,14,5,56,49,64,70
48,60,39,52,24,21,15,6,91,65,96,74
47,58,36,50,25,18,14,5,55,92,97,57
43,59,39,49,38,12,11,5,59,63,79,74
49,59,38,41,30,15,12,5,58,88,98,57
48,60,39,54,38,11,10,6,53,88,82,77
45,59,34,50,23,12,12,7,71,85,79,57
49,59,36,38,21,20,10,5,92,70,79,67
49,59,36,52,20,16,12,5,91,99,73,58
44,59,37,38,27,11,10,5,52,68,101,67
49,57,34,48,25,14,10,5,86,65,103,77
49,59,32,43,28,11,13,5,75,66,63,73
50,60,31,52,29,11,13,5,101,75,74,62
47,60,37,50,30,11,10,8,62,87,70,75
49,53,34,52,26,17,13,5,71,97,102,78
48,59,34,41,32,12,10,5,103,64,106,72
46,56,38,35,25,10,10,9,83,90,84,73
48,59,30,52,27,10,13,6,77,71,100,76
49,56,38,36,28,18,12,8,67,104,82,75
49,60,28,51,27,11,11,8,63,96,108,75
49,52,30,41,33,11,10,8,117,73,82,70
49,59,29,40,33,16,10,5,93,106,78,69
49,55,36,37,33,10,10,10,65,64,103,67
47,57,35,36,19,11,11,6,97,79,87,77
48,51,27,45,30,17,10,6,94,108,108,79
49,57,30,42,32,12,10,5,89,105,103,80
50,56,36,42,29,16,11,9,118,120,98,67
49,60,24,40,24,10,11,5,61,113,108,71
48,58,33,44,27,11,12,10,98,93,88,76
49,52,32,31,22,11,10,7,121,124,114,73
49,58,25,40,22,15,10,10,68,70,96,73
48,59,27,35,18,11,10,5,84,105,88,77
47,53,30,31,22,10,10,9,97,99,82,78
50,56,34,43,19,10,10,11,101,106,112,80
49,59,25,28,16,11,11,5,119,109,114,71
47,52,23,40,17,10,11,5,89,103,82,80
50,59,26,33,18,11,13,7,71,98,115,73
49,59,27,31,24,13,10,7,116,118,116,75
47,53,29,35,18,14,11,6,89,96,84,80
48,50,35,40,20,10,10,8,85,93,88,80
46,47,21,42,18,12,10,12,80,125,113,79
49,45,33,33,21,13,10,6,108,81,101,73
46,51,26,39,16,12,10,6,103,98,93,79
49,58,26,27,17,10,10,14,127,101,103,79
47,47,29,25,22,11,10,10,74,135,115,75
50,55,32,27,21,10,11,11,122,90,95,72
49,51,27,43,26,13,10,8,87,122,116,80
45,56,31,31,16,11,10,11,109,98,118,79
49,43,21,31,15,10,10,14,130,134,119,78
44,49,29,38,17,10,10,9,134,117,104,80
50,57,25,33,15,10,13,10,134,92,111,79
43,51,32,25,15,10,11,6,139,105,110,77
48,49,26,36,24,11,11,9,104,139,115,79
48,47,22,26,18,10,14,6,104,140,119,80
49,57,29,28,23,11,16,16,93,113,119,77
46,51,27,30,15,10,10,9,140,113,114,75
45,52,22,37,18,10,10,11,93,135,105,77
49,48,29,35,20,12,13,7,128,114,101,79
44,49,22,22,18,10,10,7,126,118,111,76
46,47,19,38,15,11,10,11,144,117,99,80
48,51,31,25,15,10,10,9,146,130,120,80
43,53,25,32,20,10,10,8,144,107,102,80
49,38,23,28,15,11,11,7,105,129,102,79
45,43,24,31,17,10,12,8,121,132,118,77
40,53,21,36,16,12,11,13,135,141,114,77
49,54,21,32,15,11,17,8,158,115,115,73
43,54,16,34,15,10,17,13,101,123,119,80
43,51,16,22,15,10,19,12,149,122,111,79
38,49,26,26,15,10,13,13,158,115,119,80
49,52,27,25,15,10,10,16,117,127,119,78
45,40,20,26,15,10,11,9,144,110,111,79
45,37,24,29,15,10,15,10,108,142,118,79
49,44,15,31,15,10,11,11,162,126,118,79
44,41,20,29,19,11,17,21,117,125,112,79
48,37,26,25,15,10,17,13,179,124,118,79
42,50,26,26,15,14,17,14,117,128,118,79
37,50,22,31,15,15,16,11,128,146,111,78
44,46,16,23,15,10,13,21,160,131,118,78
40,42,22,29,15,12,19,18,156,134,112,74
38,49,14,30,15,10,19,16,118,147,118,77
48,37,26,30,16,12,17,21,167,142,113,78
34,32,18,26,15,13,14,16,155,145,118,74
47,44,24,27,17,10,23,20,146,148,120,73
46,40,15,20,15,10,20,13,131,127,117,78
43,33,15,26,15,10,14,17,186,122,116,68
38,41,21,20,15,11,12,20,165,139,118,65
37,47,18,30,15,14,13,14,126,150,115,71
40,39,22,20,15,10,22,17,186,125,116,71
37,37,15,25,15,17,12,16,182,147,119,72
39,38,17,20,15,12,21,16,185,149,113,66
45,38,23,24,15,12,15,13,156,134,118,79
39,33,14,23,15,12,16,24,184,150,118,75
41,28,22,21,15,13,23,16,135,148,119,72
31,45,11,20,16,10,17,13,175,132,118,67
43,32,14,20,18,19,15,15,189,149,114,79
37,39,18,20,17,15,15,14,143,139,117,75
39,38,11,20,17,15,25,19,158,149,118,74
38,40,11,25,15,12,13,22,143,149,120,70
43,37,20,20,19,12,25,24,160,148,119,67
30,45,11,21,15,17,20,16,197,146,119,74
39,31,16,22,16,12,15,16,160,148,111,62
28,26,19,23,16,14,14,18,161,142,118,74
29,40,18,20,15,11,27,24,164,150,119,62
36,37,13,22,20,11,14,21,179,141,119,70
35,31,16,20,15,10,26,21,179,150,119,76
38,29,11,25,15,12,16,16,181,147,118,71
34,42,12,21,18,18,16,23,197,148,119,70
30,27,14,20,19,17,25,16,185,149,120,66
37,40,10,20,15,17,16,25,179,142,103,65
37,34,17,20,19,16,18,22,190,148,116,67
40,29,15,20,15,11,18,21,197,149,115,75
26,25,14,20,16,17,27,25,169,148,119,59
25,38,17,22,20,15,20,24,195,149,120,76
29,39,11,21,19,13,19,19,165,145,120,60
41,27,10,22,15,22,23,26,200,148,120,71
28,29,13,21,20,18,24,26,192,143,120,68
39,32,17,20,15,14,21,26,199,150,116,75
36,39,12,22,16,13,21,22,167,145,107,65
27,30,11,21,20,19,19,27,178,147,118,71
29,38,10,20,23,24,25,21,188,146,118,50
23,22,15,20,22,17,23,23,181,148,108,73
35,26,10,23,18,14,24,25,193,146,115,52
27,25,11,20,20,24,22,22,169,148,94,55
36,22,12,20,24,13,28,19,199,143,102,65
27,33,10,20,19,23,20,26,199,138,110,66
33,36,10,20,15,18,32,26,199,150,115,63
31,23,10,20,15,27,30,27,193,139,117,50
31,28,10,20,17,18,32,28,198,138,119,47
30,21,10,21,16,13,21,27,189,147,108,51
30,32,11,20,23,20,20,28,188,138,92,66
30,34,10,22,23,20,21,21,188,150,95,69
20,27,10,21,15,20,24,27,200,147,111,60
29,24,10,20,16,18,27,26,200,139,118,42
23,21,10,20,18,27,24,22,200,141,100,56
32,23,10,20,27,24,35,24,194,145,94,57
20,20,11,20,18,22,35,29,197,146,114,67
25,21,10,20,27,29,32,26,185,142,105,64
30,29,10,23,16,23,34,29,199,144,114,66
23,32,11,21,17,28,23,24,197,146,113,51
28,21,10,21,16,24,25,27,198,148,87,64
28,20,10,25,28,16,31,29,194,150,108,62
30,23,12,23,23,25,32,29,199,140,112,40
23,24,10,28,22,26,32,24,200,126,90,55
25,23,11,26,21,24,33,28,193,127,111,39
30,30,11,20,26,25,33,28,200,134,87,38
17,25,10,23,22,21,31,29,196,148,111,61
28,23,10,21,26,23,30,28,196,149,97,63
26,27,10,20,27,17,34,28,200,150,74,56
18,28,10,25,24,31,28,27,190,148,92,49
30,28,10,21,29,19,37,24,189,142,108,57
23,21,11,23,25,24,27,28,196,124,95,47
30,24,10,27,27,29,37,29,194,132,79,62
24,22,10,21,33,32,32,29,200,138,110,55
17,20,10,20,31,19,36,29,188,142,72,55
29,23,10,32,28,31,27,29,194,129,84,40
21,20,10,23,34,32,32,29,200,115,78,52
21,20,10,31,27,20,37,30,196,129,96,32
16,26,10,28,24,30,39,29,198,126,68,49
18,24,10,25,21,27,31,26,200,148,69,38
27,21,10,20,20,28,32,30,197,113,98,33
22,20,13,30,33,25,35,27,199,120,90,54
16,20,10,27,25,26,36,29,198,147,100,48
16,23,13,22,29,34,38,28,200,137,71,35
27,20,10,22,33,28,33,29,188,116,88,50
19,21,14,28,26,29,30,29,175,147,85,37
16,20,14,23,31,31,35,29,196,142,93,29
15,20,14,21,26,29,37,29,199,118,82,40
15,23,15,31,24,35,37,28,180,123,62,41
19,20,11,31,35,34,39,29,187,143,65,26
19,21,11,36,30,28,33,27,198,115,66,37
19,21,11,33,22,36,36,30,191,113,79,44
19,21,10,34,22,31,39,28,180,145,84,38
18,20,10,35,38,26,38,29,200,119,75,26
15,20,13,36,40,29,39,29,194,141,91,43
22,21,11,37,26,35,35,29,171,124,80,49
18,20,10,22,33,28,33,29,189,123,90,26
15,20,11,24,24,32,37,29,173,96,96,47
19,20,17,25,30,37,38,29,197,138,59,29
15,21,15,26,31,26,37,29,187,118,92,47
22,21,10,23,32,33,39,29,164,125,55,38
15,21,15,24,29,36,39,29,188,132,58,29
15,20,10,28,39,26,39,29,171,113,88,23
15,20,14,36,37,38,39,30,197,96,61,25
15,20,18,27,32,38,38,29,197,89,60,32
16,20,10,32,29,28,39,29,154,101,56,23
19,20,18,25,33,27,39,29,162,112,67,40
16,20,11,33,34,29,39,29,170,103,46,40
18,22,14,40,29,28,37,27,180,100,45,23
16,20,17,25,43,38,38,28,193,116,60,31
15,20,10,38,42,36,40,29,188,110,70,35
17,20,16,41,39,28,39,27,190,124,82,23
19,25,16,42,38,34,35,29,158,124,61,31
15,20,15,42,28,35,39,29,164,80,70,36
18,20,21,37,29,38,37,29,181,86,56,22
15,20,11,27,31,35,36,26,169,125,81,34
15,20,11,44,43,36,40,29,173,90,53,23
15,20,12,27,31,38,39,26,158,104,44,31
16,25,12,46,37,36,39,29,167,89,56,26
16,20,13,28,31,33,39,30,186,129,79,24
15,21,17,29,34,31,39,28,194,118,74,25
16,20,12,41,44,36,39,26,190,118,60,26
15,20,21,28,30,33,39,29,180,88,61,23
15,22,14,33,39,38,38,24,134,72,56,36
15,20,14,47,39,37,38,30,183,124,74,20
